date,gold_cost_rub
2016-01-01,2490.71
2016-01-02,2490.71
2016-01-03,2490.71
2016-01-04,2490.71
2016-01-05,2490.71
2016-01-06,2490.71
2016-01-07,2490.71
2016-01-08,2490.71
2016-01-09,2490.71
2016-01-10,2490.71
2016-01-11,2490.71
2016-01-12,2697.53
2016-01-13,2696.48
2016-01-14,2658.2
2016-01-15,2683.54
2016-01-16,2661.26
2016-01-17,2661.26
2016-01-18,2661.26
2016-01-19,2758.0
2016-01-20,2742.92
2016-01-21,2792.84
2016-01-22,2947.67
2016-01-23,2843.38
2016-01-24,2843.38
2016-01-25,2843.38
2016-01-26,2760.59
2016-01-27,2932.99
2016-01-28,2835.69
2016-01-29,2783.42
2016-01-30,2689.71
2016-01-31,2689.71
2016-02-01,2689.71
2016-02-02,2753.33
2016-02-03,2815.09
2016-02-04,2879.52
2016-02-05,2817.8
2016-02-06,2880.69
2016-02-07,2880.69
2016-02-08,2880.69
2016-02-09,2899.65
2016-02-10,3007.48
2016-02-11,3008.35
2016-02-12,3111.44
2016-02-13,3167.94
2016-02-14,3167.94
2016-02-15,3167.94
2016-02-16,3021.92
2016-02-17,2971.01
2016-02-18,3009.54
2016-02-19,2921.89
2016-02-20,2999.04
2016-02-21,3053.09
2016-02-22,2999.04
2016-02-23,2999.04
2016-02-24,2999.04
2016-02-25,3026.51
2016-02-26,3034.25
2016-02-27,2971.89
2016-02-28,2971.89
2016-02-29,2971.89
2016-03-01,3011.6
2016-03-02,2952.29
2016-03-03,2910.01
2016-03-04,2947.77
2016-03-05,2991.79
2016-03-06,2991.79
2016-03-07,2991.79
2016-03-08,2991.79
2016-03-09,2991.79
2016-03-10,2927.93
2016-03-11,2850.82
2016-03-12,2853.2
2016-03-13,2853.2
2016-03-14,2853.2
2016-03-15,2834.16
2016-03-16,2797.73
2016-03-17,2815.81
2016-03-18,2798.51
2016-03-19,2758.89
2016-03-20,2758.89
2016-03-21,2758.89
2016-03-22,2752.59
2016-03-23,2727.75
2016-03-24,2679.67
2016-03-25,2695.94
2016-03-26,2686.47
2016-03-27,2686.47
2016-03-28,2686.47
2016-03-29,2660.8
2016-03-30,2688.99
