date,income,outcome,balance,is_non_working_day,day_Friday,day_Saturday,day_Sunday,day_Monday,day_Tuesday,day_Wednesday,day_Thursday,month_January,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,is_start_of_month,is_end_of_month,is_last_day_of_month,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,tax_vat_payment_due,tax_income_payment_due,tax_unified_social_payment_due,tax_all_payment_due,tax_annual_payment_due,is_official_holiday,is_december_27,is_december_28,is_december_29,is_december_30,is_december_31,is_pre_holiday,is_post_holiday,brent_cost,gold_cost_rub,usd_rub,rate,ON,1W,2W,1M,2M,3M,6M
2017-01-09,1.3430284451958885,1.487864846148386,-0.1448364009524976,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.93999862670898,2260.43,60.6569,10.0,10.46,10.44,10.47,10.52,10.58,10.58,10.58
2017-01-10,1.0686103210858036,1.1941824549802276,-0.125572133894424,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.63999938964844,2264.82,59.8961,10.0,10.21,10.4,10.48,10.53,10.59,10.59,10.59
2017-01-11,0.9444291149567444,0.9366625183417424,0.007766596615002,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.09999847412109,2280.67,59.9533,10.0,10.23,10.4,10.48,10.53,10.59,10.59,10.59
2017-01-12,1.6722020837242924,0.8753789642569223,0.7968231194673701,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0099983215332,2297.0,60.1614,10.0,10.23,10.42,10.48,10.53,10.59,10.59,10.59
2017-01-13,0.9559239896622695,0.9756451203419984,-0.0197211306797288,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.45000076293945,2308.2,59.4978,10.0,10.27,10.4,10.45,10.51,10.58,10.59,10.59
2017-01-14,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.45000076293945,2283.58,59.37,10.0,10.27,10.4,10.45,10.51,10.58,10.59,10.59
2017-01-15,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.45000076293945,2283.58,59.37,10.0,10.27,10.4,10.45,10.51,10.58,10.59,10.59
2017-01-16,1.0823413586798478,1.0243449325493723,0.0579964261304755,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.45000076293945,2283.58,59.37,10.0,10.32,10.42,10.44,10.47,10.51,10.52,10.52
2017-01-17,0.8963335667054485,1.4483640095249777,-0.5520304428195292,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.470001220703125,2304.95,59.6067,10.0,10.37,10.42,10.44,10.46,10.49,10.5,10.5
2017-01-18,0.7547589142354276,0.8795602298573381,-0.1248013156219104,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.91999816894531,2325.18,59.4015,10.0,10.38,10.42,10.44,10.46,10.49,10.5,10.5
